383498,209112
383498,155
383498,272
383498,141052
383498,263115
402900,1572
402900,949
402900,75656
402900,259316
402900,489931
466282,43923
466282,449176
466282,308369
466282,9880
466282,12689
363088,141052
363088,99861
363088,49521
363088,297762
363088,209112
462919,64255
462919,621
462919,2976
462919,429417
462919,224141
454983,449176
454983,49022
454983,84892
454983,101299
454983,9769
293660,141052
293660,1924
293660,1452
293660,8536
293660,9531
455980,460019
455980,380
455980,353486
455980,254470
455980,260514
283995,299536
283995,1924
283995,1452
283995,8536
283995,9531
354912,745
354912,4011
354912,6477
177572,479
177572,281957
177572,73
177572,2048
177572,238636
269149,278927
269149,338970
269149,346364
269149,101299
487558,1883
487558,324786
487558,424
487558,769
487558,425336
150540,812
150540,260513
150540,12092
150540,11360
150540,2300
455207,8966
455207,281957
455207,466282
455207,9880
455207,222935
194662,98566
194662,14
194662,155
194662,272
194662,49026
460668,2062
460668,694
460668,745
460668,453
460668,433
20352,309809
20352,20497
20352,19101
420814,424
420814,316029
420814,324786
420814,769
420814,399404
291805,467938
291805,260346
291805,281957
291805,241554
291805,357096
400155,49017
400155,277
400155,7131
400155,24021
400155,2907
437557,376660
437557,391713
437557,14
207703,155
207703,272
207703,1726
207703,141052
207703,209112
445571,275
445571,473149
445571,309809
445571,984
445571,270487
458423,224141
458423,11224
458423,11631
458423,114
458423,621
313369,525
313369,10947
313369,705
399174,387592
399174,263109
399174,531
399174,533
399174,530
93456,49519
93456,207703
20352,93456
93456,116711
98566,272
98566,68721
98566,297762
98566,263115
98566,1930
106646,261023
106646,4771
106646,339692
106646,769
106646,398181
257344,251516
257344,333339
257344,603
257344,620
257344,27205
425,675
425,10567
585,62211
585,1124
585,275
454619,3134
454619,357096
454619,281957
454619,467938
454619,156022
455656,19840
455656,10625
455656,272693
455656,37725
455656,2105
310,604
310,9946
310,311
310,145
310,6557
808,10882
808,10140
808,321612
808,10020
474335,2300
474335,13260
474335,265330
474335,489593
474335,66894
18785,10029
18785,429733
18785,627
18785,12593
449176,376867
449176,398818
449176,26280
449176,26933
449176,184352
340022,562
340022,1571
340022,1572
340022,27576
340022,2502
257445,767
257445,671
257445,674
257445,12444
257445,12445
339846,14372
339846,2756
339846,545957
339846,228165
339846,11836
62177,10144
62177,109445
62177,10895
62177,10882
335797,9836
335797,258509
335797,9986
335797,9447
353486,333339
353486,131631
353486,258489
353486,314095
353486,70160
270946,10140
270946,808
270946,812
270946,12
270946,128
224141,10882
224141,808
224141,150689
224141,321612
224141,809
350,84892
350,50619
350,466282
350,222935
350,281957
387592,60308
387592,22881
214756,250546
214756,72105
214756,11249
214756,11932
159824,129
159824,671
159824,672
159824,675
218746,52449
218746,59861
218746,372058
218746,194
218746,10830
14160,9479
14160,3933
14160,326359
14160,32085
14160,145316
254470,6477
254470,525
181533,863
181533,81
181533,122
181533,12437
181533,228150
179144,12271
179144,627
179144,11801
179144,306819
166426,1865
166426,22
166426,58
166426,285
166426,71805
452731,370663
452731,258480
452731,10818
452731,437557
452731,39781
364689,1265
364689,9986
364689,25475
446894,8989
446894,487283
446894,413644
446894,14220
446894,38006
608,607
608,601
608,395
608,840
608,602
2976,409447
2976,630
2976,525
260514,258509
260514,9986
260514,9447
260514,9598
390043,245891
390043,249070
390043,156022
390043,59967
418827,53932
418827,796
418827,405817
418827,345
418827,28468
72105,862
72105,24420
72105,13523
72105,19913
72105,1024
787,249070
787,101
787,956
787,156022
390043,787
9880,449176
9880,50479
9880,286565
9880,19840
11631,109445
11631,634
364689,920
920,128
920,62211
920,11006
227159,8067
227159,483
227159,562
227159,1571
227159,339692
507562,81
507562,372058
507562,476292
507562,507569
507562,12429
391713,376867
